17-09-2018 20:34:24 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010001070C
17-09-2018 20:34:32 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010000070B
17-09-2018 20:35:15 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
17-09-2018 20:35:15 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 18:06:07 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 18:06:07 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 18:09:21 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010001070C
07-10-2018 18:09:23 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010000070B
07-10-2018 18:09:24 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010001070C
07-10-2018 18:09:26 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010000070B
07-10-2018 18:09:28 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010001070C
07-10-2018 18:09:36 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010000070B
07-10-2018 18:10:35 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010001070C
07-10-2018 18:10:37 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010000070B
07-10-2018 18:10:41 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010001070C
07-10-2018 18:10:42 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0100010000070B
07-10-2018 18:11:21 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 18:11:21 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 18:34:53 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000100010710
07-10-2018 18:34:56 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0500010000070F
07-10-2018 18:35:20 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000100010710
07-10-2018 18:38:01 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0500010000070F
07-10-2018 19:12:59 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 19:12:59 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 19:13:10 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 19:13:10 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 19:35:34 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 19:35:34 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
07-10-2018 19:59:55 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000100010710
07-10-2018 20:00:00 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0500010000070F
10-10-2018 05:55:11 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0500010000070F
10-10-2018 05:55:14 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0500010000070F
10-10-2018 12:42:02 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000100010710
10-10-2018 12:42:08 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0500010000070F
10-10-2018 12:55:37 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000100010710
10-10-2018 13:11:04 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000100010710
10-10-2018 13:11:07 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F0500010000070F
10-10-2018 13:12:31 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:12:58 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:13:18 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:13:40 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:14:11 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:14:37 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:14:37 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:14:41 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:14:42 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:15:27 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:15:27 - 169.254.126.120, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:16:04 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:16:04 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA090000FFFE00FF000006E8
10-10-2018 13:17:18 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000300010712
10-10-2018 13:17:19 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000300000711
10-10-2018 13:17:21 - 192.168.1.35, 6600 - 4F4B4249542D554450AAAA0D7F00FFFE001E7F05000200010711
